鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
中正區,房地(土地+建物),同安街80巷1~30號,9.26,都市：其他:道路用地(公共設施用地)。56/9/9,,,1100403,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,34.02,1,1,1,有,無,5650000,166079,,0.0,0,陽台外推；其他增建；,RPUPMLQLMHGGFAA87DA,31.88,0.0,2.14,無,
文山區,土地,政大段二小段61~90地號,30.0,都市：其他:第三種住宅區。,,,1100310,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11500000,383333,,0.0,0,陽台外推；頂樓加蓋；其他增建；未登記建物；,RPPOMLRLMHGGFAA37DA,0.0,0.0,0.0,無,084
文山區,房地(土地+建物)+車位,辛亥路七段84巷1~30號,23.98,都市：其他:第三種住宅區。,,,1100329,土地2建物1車位1,七層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0891025,110.59,3,2,2,有,有,16200000,146487,坡道機械,0.0,0,陽台外推；,RPUNMLKLMHGGFAA07DA,61.76,0.0,5.6,有,
中正區,房地(土地+建物)+車位,羅斯福路三段1~30號,37.3,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1100331,土地2建物1車位1,二十二層,二十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼骨鋼筋混凝土造,1060425,368.77,4,2,3,有,有,95700000,275864,坡道平面,33.46,3200000,政府機關標讓售；,RPWOMLLMLHGGFAA47DA,215.86,12.36,10.08,有,
中正區,房地(土地+建物),羅斯福路三段211~240號,8.78,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1080427,土地1建物1車位0,二層,十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100205,92.47,2,2,2,有,有,28880000,312318,,0.0,0,預售屋、或土地及建物分次登記案件；,RPWNMLKMLHGGFAA27DA,51.91,2.11,3.17,有,
文山區,房地(土地+建物),福興路78巷20弄31~60號,27.73,都市：其他:道路用地(公共設施用地)。60/10/12,,,1100313,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691007,92.96,3,2,2,有,無,10800000,116179,,0.0,0,其他增建；,RPOOMLPKMHGGFAA96DA,79.35,0.0,13.61,無,
文山區,房地(土地+建物),光輝路78巷1~30號,26.55,都市：其他:道路用地(公共設施用地)。61/2/7,,,1100407,土地2建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710119,88.88,3,2,2,有,無,11460000,128938,,0.0,0,陽台外推；,RPROMLQKMHGGFAA37DA,70.28,0.0,18.6,無,
文山區,房地(土地+建物),溪洲街1~30號,22.95,都市：其他:堤防用地(公共設施用地)。78/11/20,,,1100307,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0600830,61.73,2,2,1,有,無,10310000,167018,,0.0,0,其他增建；,RPXPMLQKMHGGFAA08DA,61.73,0.0,0.0,無,
中正區,房地(土地+建物),羅斯福路三段211~240號,8.8,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1080812,土地1建物1車位0,二層,十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100205,94.06,2,2,2,有,有,29620000,314905,,0.0,0,預售屋、或土地及建物分次登記案件；,RPOOMLQKLHGGFAA96DA,51.99,3.44,3.24,有,
中正區,房地(土地+建物)+車位,羅斯福路三段211~240號,8.8,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1080329,土地1建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100205,130.61,2,2,2,有,有,31980000,316606,升降機械,36.55,2200000,預售屋、或土地及建物分次登記案件；,RPPOMLQKLHGGFAA07DA,51.99,3.44,3.24,有,
中正區,房地(土地+建物),羅斯福路三段211~240號,8.81,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1100309,土地1建物1車位0,九層,十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100205,94.06,2,2,2,有,有,31660000,336594,,0.0,0,預售屋、或土地及建物分次登記案件；,RPWOMLQKLHGGFAA77DA,51.99,3.44,3.24,有,
中正區,房地(土地+建物)+車位,羅斯福路三段211~240號,8.81,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1080327,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100205,130.24,2,2,2,有,有,34900000,349023,升降機械,36.55,2200000,預售屋、或土地及建物分次登記案件；,RPTQMLQKLHGGFAA67DA,51.99,3.07,3.24,有,
中正區,房地(土地+建物),羅斯福路三段211~240號,8.78,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1080426,土地1建物1車位0,五層,十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100205,92.47,2,2,2,有,有,29700000,321185,,0.0,0,預售屋、或土地及建物分次登記案件；,RPWQMLQKLHGGFAA97DA,51.91,2.11,3.17,有,
中正區,房地(土地+建物)+車位,羅斯福路三段211~240號,8.78,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1080611,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100205,129.01999999999998,2,2,2,有,有,32880000,331783,升降機械,36.55,2200000,預售屋、或土地及建物分次登記案件；,RPORMLQKLHGGFAA27DA,51.91,2.11,3.17,有,
中正區,房地(土地+建物)+車位,羅斯福路三段211~240號,8.78,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1080727,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100205,129.01999999999998,2,2,2,有,有,33000000,333081,升降機械,36.55,2200000,預售屋、或土地及建物分次登記案件；,RPPRMLQKLHGGFAA37DA,51.91,2.11,3.17,有,
中正區,房地(土地+建物)+車位,羅斯福路三段211~240號,8.78,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1080710,土地1建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100205,129.01999999999998,2,2,2,有,有,34700000,351465,升降機械,36.55,2200000,預售屋、或土地及建物分次登記案件；,RPRRMLQKLHGGFAA57DA,51.91,2.11,3.17,有,
中正區,房地(土地+建物)+車位,羅斯福路三段211~240號,8.78,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1080722,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100205,129.01999999999998,2,2,2,有,有,34280000,346923,升降機械,36.55,2200000,預售屋、或土地及建物分次登記案件；,RPSRMLQKLHGGFAA67DA,51.91,2.11,3.17,有,
中正區,房地(土地+建物),羅斯福路三段211~240號,7.83,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1080812,土地1建物1車位0,二層,十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100205,84.37,2,2,2,有,有,26380000,312670,,0.0,0,預售屋、或土地及建物分次登記案件；,RPTRMLQKLHGGFAA77DA,46.32,3.52,3.07,有,
中正區,房地(土地+建物),羅斯福路三段211~240號,7.88,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1080601,土地1建物1車位0,四層,十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100205,84.53,2,2,2,有,有,26500000,313498,,0.0,0,預售屋、或土地及建物分次登記案件；,RPURMLQKLHGGFAA87DA,46.32,3.52,3.07,有,
中正區,房地(土地+建物)+車位,羅斯福路三段211~240號,7.88,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1080518,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100205,121.08,2,2,2,有,有,30900000,339524,升降機械,36.55,2200000,預售屋、或土地及建物分次登記案件；,RPWRMLQKLHGGFAA08DA,46.32,3.52,3.07,有,
中正區,房地(土地+建物),羅斯福路三段211~240號,7.88,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1080321,土地1建物1車位0,十三層,十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100205,84.53,2,2,2,有,有,29280000,346386,,0.0,0,預售屋、或土地及建物分次登記案件；,RPXRMLQKLHGGFAA18DA,46.32,3.52,3.07,有,
中正區,房地(土地+建物)+車位,羅斯福路三段211~240號,8.81,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1080329,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100205,130.61,2,2,2,有,有,33720000,335105,升降機械,36.55,2200000,預售屋、或土地及建物分次登記案件；,RPRNMLRKLHGGFAA27DA,51.99,3.44,3.24,有,
文山區,房地(土地+建物)+車位,木柵路四段121~150號,53.76,都市：其他:交通用地(公共設施用地)。78/4/3,,,1100317,土地2建物1車位1,二層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1000214,189.19,2,2,2,有,有,32500000,178338,坡道平面,20.97,2500000,,RPRPMLRKLHGGFAA47DA,103.37,6.73,10.88,有,
中正區,房地(土地+建物),羅斯福路三段211~240號,7.88,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1080725,土地1建物1車位0,七層,十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100205,84.53,2,2,2,有,有,28000000,331243,,0.0,0,預售屋、或土地及建物分次登記案件；,RPRNMLTKLHGGFAA47DA,46.32,3.52,3.07,有,
中正區,房地(土地+建物)+車位,羅斯福路三段211~240號,8.81,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1080713,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100205,130.61,2,2,2,有,有,35080000,349564,升降機械,36.55,2200000,預售屋、或土地及建物分次登記案件；,RPVNMLMLLHGGFAA27DA,51.99,3.44,3.24,有,
