鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
苓雅區,房地(土地+建物),苓中路31~60號,23.9,都市：其他:第五種商業區,,,1100328,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0740425,107.95,3,2,2,有,無,5560000,51505,,0.0,0,,RPSNMLSLMHGGFBE18DA,0.0,0.0,0.0,無,
苓雅區,房地(土地+建物)+車位,青年一路1~30號,9.39,都市：其他:第五種商業區,,,1100313,土地1建物1車位1,二十六層,二十九層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1090203,188.57999999999998,3,2,2,有,有,15200000,82888,坡道平面,25.71,1700000,,RPQOMLNJNHGGFBE47DA,90.68,11.94,0.0,有,
苓雅區,房地(土地+建物),武信街16巷1~30號,48.0,都市：其他:第三種住宅區。,,,1100416,土地1建物1車位0,全,三層,透天厝,,鋼筋混凝土造,0710226,70.2,4,2,2,有,無,4600000,65527,,0.0,0,頂樓加蓋；,RPSOMLNJNHGGFBE67DA,70.2,0.0,0.0,無,
苓雅區,房地(土地+建物)+車位,家齊路31~60號,25.99,都市：其他:第三種住宅區。,,,1100403,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1090103,178.18,3,2,2,有,有,14230000,76894,坡道平面,20.43,2100000,,RPWNMLOJNHGGFBE08DA,81.85,17.59,0.0,有,
苓雅區,房地(土地+建物)+車位,家齊路31~60號,35.82,都市：其他:第三種住宅區。,,,1100329,土地1建物1車位2,二層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1090103,243.51,3,2,2,有,有,17680000,67618,坡道平面,35.28,3600000,,RPOOMLOJNHGGFBE37DA,105.41,27.65,0.0,有,
苓雅區,房地(土地+建物)+車位,家齊路31~60號,24.73,都市：其他:第三種住宅區。,,,1100330,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1090103,174.32,3,2,2,有,有,12000000,66248,坡道平面,16.58,1550000,,RPWQMLOJNHGGFBE38DA,81.85,17.59,0.0,有,
苓雅區,房地(土地+建物)+車位,正順街1~30號,18.53,都市：其他:道路用地,,,1100401,土地3建物1車位1,四層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830302,120.28,3,2,2,有,有,6500000,54041,坡道機械,0.0,0,,RPXQMLOJNHGGFBE48DA,75.35,9.43,0.0,有,
苓雅區,房地(土地+建物),武嶺街61巷4弄1~30號,60.0,都市：其他:第三種住宅區。,,,1100406,土地1建物1車位0,全,二層,透天厝,,加強磚造,0600615,75.08,6,3,3,有,無,6400000,85242,,0.0,0,壹樓空地，2樓+3樓其他增建；,RPORMLOJNHGGFBE67DA,75.08,0.0,0.0,無,0009
苓雅區,房地(土地+建物),安康路20巷1~30號,27.38,都市：其他:第三種住宅區。,,,1100323,土地3建物1車位0,三層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0700127,79.29,3,2,2,有,有,3350000,42250,,0.0,0,,RPQNMLRJNHGGFBE77DA,79.29,0.0,0.0,無,0010
前鎮區,房地(土地+建物)+車位,育群街1~30號,14.15,都市：其他:第三種特定商業專用區,,,1100218,土地3建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1091120,158.36,3,2,2,有,有,9740000,61505,坡道平面,31.92,0,1.建物格局採開放式彈性設計,RPRNMLRLKHGGFCE87DA,70.01,12.39,0.0,有,
前鎮區,房地(土地+建物)+車位,育群街1~30號,8.45,都市：其他:第三種特定商業專用區,,,1100126,土地3建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1091120,91.75999999999999,2,2,1,有,有,5930000,64625,坡道機械,16.31,0,1.建物格局採開放式彈性設計,RPRNMLRJLHGGFCE77DA,42.74,6.37,0.0,有,
前鎮區,房地(土地+建物),育群街1~30號,9.97,都市：其他:第三種特定商業專用區,,,1100306,土地3建物1車位0,四層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1091120,89.08,2,2,1,有,有,5870000,65896,,0.0,0,1.建物格局採開放式彈性設計,RPQNMLNKLHGGFCE37DA,52.38,5.62,0.0,有,
前鎮區,房地(土地+建物)+車位,育群街1~30號,8.64,都市：其他:第三種特定商業專用區,,,1100210,土地3建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1091120,93.43,2,2,1,有,有,6070000,64968,坡道機械,16.31,0,1.建物格局採開放式彈性設計,RPRNMLOKLHGGFCE57DA,44.33,5.89,0.0,有,
前鎮區,房地(土地+建物)+車位,育群街1~30號,14.1,都市：其他:第三種特定商業專用區,,,1100308,土地3建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1091120,157.89,3,2,2,有,有,10330000,65425,坡道平面,31.92,0,1.建物格局採開放式彈性設計,RPRNMLLLLHGGFCE37DA,68.98,13.09,0.0,有,
前鎮區,房地(土地+建物)+車位,育群街1~30號,8.64,都市：其他:第三種特定商業專用區,,,1100324,土地3建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1091120,93.43,2,2,1,有,有,6360000,68072,坡道機械,16.31,0,1.建物格局採開放式彈性設計,RPQNMLRLLHGGFCE87DA,44.33,5.89,0.0,有,
前鎮區,房地(土地+建物)+車位,育群街1~30號,8.45,都市：其他:第三種特定商業專用區,,,1100320,土地3建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1091120,91.75999999999999,2,2,1,有,有,6270000,68330,坡道機械,16.31,0,1.建物格局採開放式彈性設計,RPQOMLTLLHGGFCE18DA,42.74,6.37,0.0,有,
小港區,房地(土地+建物)+車位,新昌街1~30號,19.45,都市：其他:第三種商業區,,,1100328,土地1建物1車位1,五層，六層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830903,182.66000000000003,4,0,4,有,有,5380000,29454,坡道平面,0.0,0,含租約；,RPQQMLLMLHGGFCE67DA,101.04,16.86,0.0,有,0011
小港區,房地(土地+建物),康莊路196巷1~30號,20.34,都市：其他:第三種特定商業專用區,,,1100406,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0720502,78.49000000000001,3,1,1,有,無,2600000,33125,,0.0,0,含部分贈與親友、員工、共有人或其他特殊關係間之交易；,RPQNMLQJMHGGFCE67DA,0.0,0.0,0.0,無,
前鎮區,車位,瑞隆路511~540號,0.0,,,,1100330,土地0建物1車位1,,,其他,,,,37.22,0,0,0,有,有,1550000,,坡道平面,37.21,1550000,僅車位交易；,RPRNMLRJMHGGFCE87DA,0.0,0.0,0.0,有,
前鎮區,房地(土地+建物)+車位,瑞隆路511~540號,14.86,都市：其他:第三種商業區,,,1100330,土地2建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1040708,129.98000000000002,2,2,1,有,有,8550000,65779,坡道平面,37.21,0,,RPWNMLRJMHGGFCE38DA,54.06,6.27,0.0,有,0012
前鎮區,房地(土地+建物)+車位,育群街1~30號,14.1,都市：其他:第三種特定商業專用區,,,1100313,土地3建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1091120,157.89,3,2,2,有,有,10330000,65425,坡道平面,31.92,0,1.建物格局採開放式彈性設計,RPTNMLMKMHGGFCE67DA,68.98,13.09,0.0,有,
小港區,房地(土地+建物),永順街210巷1~30號,24.97,都市：其他:第三種特定商業專用區,,,1100422,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0720119,69.85,3,1,2,有,無,1200000,17180,,0.0,0,,RPXQMLMLMHGGFCE48DA,69.85,0.0,0.0,無,
前鎮區,房地(土地+建物)+車位,廣東三街301~330號,8.79,都市：其他:第四種商業區,,,1100414,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930611,89.72999999999999,2,2,1,有,有,5150000,57394,坡道機械,7.26,0,,RPPNMLPLMHGGFCE67DA,51.84,8.96,0.0,有,0013
前鎮區,房地(土地+建物),鎮東五街151~180號,22.33,都市：其他:第三種住宅區。,,,1100420,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0701107,85.36,3,2,2,有,無,3550000,41589,,0.0,0,,RPSNMLQJNHGGFCE97DA,85.36,0.0,0.0,無,0014
前鎮區,房地(土地+建物),精忠街162巷1~30號,28.47,都市：其他:第三種住宅區。,,,1100319,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0680226,81.17999999999999,3,2,2,有,無,3900000,48041,,0.0,0,,RPVPMLQJNHGGFCE48DA,75.33,0.0,0.0,無,0015
前鎮區,土地,鎮昌段1~30地號,87.0,都市：其他:第三種住宅區。,,,1100503,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2200000,25287,,0.0,0,,RPWQMLQJNHGGFCE68DA,0.0,0.0,0.0,無,0016
