鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
板橋區,車位,光環路二段31~60號,0.05,都市：其他:住宅區,,,1100416,土地1建物1車位1,一層,二十層,其他,一般事務所,鋼骨鋼筋混凝土造,1071213,27.27,0,0,0,有,有,2100000,,坡道平面,27.27,2100000,僅車位交易；,RPTOMLQJNHGGFAF08DA,0.0,0.0,0.0,有,0009
板橋區,房地(土地+建物),大觀路二段3巷61~90號,18.13,都市：其他:住宅區(再),,,1100411,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0640711,67.32,3,2,1,有,無,7060000,104872,,0.0,0,陽台外推；其他增建；,RPWSMLPJNHGGFAF68DA,57.92,0.0,9.4,無,0012
土城區,房地(土地+建物)+車位,中央路四段121~150號,24.4,都市：其他:住宅區,,,1100306,土地1建物1車位1,五層,十二層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1041104,157.32,3,2,2,有,有,14500000,100023,坡道平面,29.35,1700000,其他增建；,RPTQMLQJNHGGFAF28DA,68.33,8.91,8.42,有,0013
板橋區,房地(土地+建物)+車位,四川路二段241~270號,6.2,都市：其他:住宅區,,,1100419,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),商業用,鋼骨混凝土造,,57.49,0,0,0,無,有,5230000,90972,坡道平面,9.67,0,,RPSNMLRJNHGGFAF97DA,52.89,0.0,0.0,有,
板橋區,房地(土地+建物),民權路241~270號,16.8,都市：其他:住宅區,,,1100309,土地1建物1車位0,二層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670117,67.61,2,2,1,有,無,8550000,126461,,0.0,0,,SPTNMLRJNHGGFAF18DA,135.22,0.0,0.0,無,
板橋區,土地,江子翠段第二崁小段61~90地號,10.89,都市：其他:人行步道,,,1100414,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1809298,166143,,0.0,0,包含公共設施保留地用地；,RPPOMLRJNHGGFAF77DA,0.0,0.0,0.0,無,0014
板橋區,土地,港子嘴段241~270地號,21.0,都市：其他:道路用地,,,1100414,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3411240,162440,,0.0,0,包含公共設施保留地用地；,RPUOMLRJNHGGFAF28DA,0.0,0.0,0.0,無,0015
板橋區,土地,府中段391~420地號,7.0,都市：其他:道路用地,,,1100414,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3908940,558420,,0.0,0,包含公共設施保留地用地；,RPWOMLRJNHGGFAF48DA,0.0,0.0,0.0,無,0016
板橋區,房地(土地+建物),僑中三街31~60號,29.66,都市：其他:住宅區(再),,,1100416,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,103.34,5,0,5,有,無,9500000,91930,,0.0,0,頂樓加蓋；,RPXOMLRJNHGGFAF58DA,88.41,0.0,14.93,無,
土城區,房地(土地+建物),興城路1~30號,10.18,都市：其他:排水溝用地,,,1100405,土地2建物1車位0,十一層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,96.24,2,2,2,有,有,11900000,123649,,0.0,0,陽台外推；其他增建；,RPTPMLRJNHGGFAF28DA,63.29,0.61,8.67,有,0017
板橋區,房地(土地+建物)+車位,四川路一段211~240號,20.47,都市：其他:住宅區,,,1100316,土地1建物1車位1,十三層,二十層,住宅大樓(11層含以上有電梯),集合住宅,鋼骨構造,1060824,193.5,3,2,2,有,有,7415000,45348,坡道平面,57.44,1245000,親友、員工、共有人或其他特殊關係間之交易；,RPRPMLQJNHGGFAF97DA,78.42,1.1,11.4,有,
板橋區,房地(土地+建物),翠華街4巷1~30號,29.5,都市：其他:住宅區,,,1100328,土地1建物1車位0,四層，陽台,四層,公寓(5樓含以下無電梯),住家用,加強磚造,,84.54,4,2,2,有,無,9200000,108824,,0.0,0,頂樓加蓋；,RPTOMLKKNHGGFAF57DA,84.54,0.0,0.0,無,0018
土城區,土地,石門段631~660地號,206.86,都市：其他:農業區,,,1100330,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2200000,10635,,0.0,0,,RPOPMLKKNHGGFAF17DA,0.0,0.0,0.0,無,
泰山區,房地(土地+建物)+車位,仁義路11巷1~30號,15.06,都市：其他:第二種住宅區,,,1100321,土地1建物1車位1,七層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0930423,108.17,2,2,1,有,有,10880000,108560,坡道平面,24.53,1800000,,RPRNMLLLLHGGFBF37DA,59.27,0.64,3.12,有,
泰山區,房地(土地+建物),中華街18巷1~30號,25.25,都市：其他:住宅區,,,1100330,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0750117,84.6,3,2,2,有,無,6600000,78014,,0.0,0,,RPQRNLLMLHGGFBF87DA,76.27,0.0,8.33,無,
新莊區,房地(土地+建物),新泰路347巷5弄1~30號,66.38,都市：其他:住宅區,,,1100329,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0570100,82.2,6,0,6,有,無,15800000,192214,,0.0,0,頂樓加蓋；其他增建；,RPXOMLQJMHGGFBF48DA,82.2,0.0,0.0,無,0019
