鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
大里區,房地(土地+建物),中興路二段日新六巷1~30號,74.09,,鄉村區,乙種建築用地,1100404,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造蓋瓦頂,0621201,93.98,8,0,8,有,無,8080000,85976,,0.0,0,頂樓加蓋；其他增建；,RPSRMLLKNHGGFIB28DA,93.98,0.0,0.0,無,
烏日區,房地(土地+建物),健行路639巷1~30號,130.18,都市：其他:第一種住宅區,,,1100330,土地1建物1車位0,全,三層,透天厝,住家用,加強磚造,0680530,131.88,5,2,3,有,無,6500000,49287,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLMKNHGGFIB67DA,131.88,0.0,0.0,無,
大里區,土地,振坤段871~900地號,301.46,,,,1100412,土地7建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1572000,5215,,0.0,0,依土地法34條之1辦理登記。包含公共設施保留地用地；,RPTPMLRJNHGGFIB68DA,0.0,0.0,0.0,無,
烏日區,房地(土地+建物),溪南路一段580巷31~60號,100.0,,鄉村區,乙種建築用地,1100410,土地1建物1車位0,全,三層,透天厝,住房、梯間,鋼筋混凝土造,0850906,188.02,7,4,3,有,無,11080000,58930,,0.0,0,,RPTNMLSJNHGGFIB58DA,176.3,11.72,0.0,無,
大里區,房地(土地+建物)+車位,甲堤南路31~60號,27.64,都市：其他:住宅區(住二),,,1100423,土地1建物1車位1,三層,九層,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1040810,164.56,3,2,2,有,有,10200000,61983,坡道平面,31.91,0,,RPVNMLMKNHGGFIB28DA,81.11,8.55,0.0,有,
烏日區,房地(土地+建物)+車位,三榮路一段391~420號,30.4,都市：其他:第二種住宅區,,,1100419,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1051014,161.84,3,2,2,有,有,10680000,65991,坡道平面,36.04,0,,RPTQMLMKNHGGFIB38DA,75.32,10.51,0.0,有,
大里區,土地,夏田西段871~900地號,4929.75,,一般農業區,農牧用地,1100303,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,147000000,29819,,0.0,0,,RPPQMLMKNHGGFIB97DA,0.0,0.0,0.0,無,
太平區,房地(土地+建物),長億一街61~90號,72.0,都市：其他:第一種住宅區,,,1100316,土地1建物1車位0,全,四層,透天厝,店舖、住宅、人行道,鋼筋混凝土造,0810510,201.61,5,2,3,有,無,9500000,47121,,0.0,0,其他增建；,RPSQMLQKLHGGFJB58DA,173.28,28.33,0.0,無,
太平區,房地(土地+建物),新興路35巷61~90號,34.92,都市：其他:住宅區,,,1100404,土地1建物1車位0,一層，二層,七層,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,0810617,183.33,5,3,3,有,有,7200000,39273,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPWNMLNKMHGGFJB48DA,153.76,14.23,0.0,有,
太平區,房地(土地+建物)+車位,旱溪西路二段241~270號,29.81,都市：其他:住宅區,,,1100417,土地1建物1車位2,六層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1051104,163.88,3,2,2,有,有,10680000,65170,坡道平面,0.0,0,,RPTOMLKLMHGGFJB08DA,76.29,10.85,0.0,有,0298
太平區,房地(土地+建物),中平九街61~90號,20.52,都市：其他:第一種住宅區,,,1100418,土地2建物1車位0,九層,九層,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,0800620,97.89000000000001,3,2,2,有,有,5000000,51078,,0.0,0,,RPPNMLPLMHGGFJB08DA,75.67,9.51,0.0,有,0299
太平區,房地(土地+建物)+車位,育賢路61~90號,13.25,都市：其他:住宅區,,,1100425,土地2建物1車位1,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840728,105.35000000000001,3,2,2,有,有,5850000,55529,坡道機械,0.0,0,,RPTNMLQLMHGGFJB58DA,76.58,12.93,0.0,有,
太平區,房地(土地+建物)+車位,永平南路40巷1~30號,18.0,都市：其他:第一種住宅區,,,1100413,土地1建物1車位1,三層,八層,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,0840805,129.05,3,2,2,有,有,5550000,43007,坡道平面,0.0,0,,RPOOMLMKNHGGFJB77DA,80.47,10.82,0.0,有,
太平區,房地(土地+建物),光興路1690巷6弄1~30號,120.23,,鄉村區,乙種建築用地,1100425,土地1建物1車位0,全,三層,透天厝,住房、梯間,鋼筋混凝土造,0891006,123.09,6,3,3,有,無,7700000,62556,,0.0,0,,RPTOMLPJNHGGFJB48DA,123.09,0.0,0.0,無,
太平區,房地(土地+建物),育仁路110巷8弄1~30號,77.13,都市：其他:住宅區,,,1100324,土地2建物1車位0,全,三層,透天厝,住宅、梯間,鋼筋混凝土造,0831123,206.57999999999998,5,3,3,有,有,11700000,56637,,0.0,0,頂樓加蓋；其他增建；,RPPPMLKKNHGGFJB77DA,181.13,5.35,0.0,無,
太平區,房地(土地+建物),永成北路158巷1~30號,15.13,都市：其他:第一種住宅區,,,1100320,土地1建物1車位0,八層,十二層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,0810526,81.2,3,2,2,有,無,1510000,18596,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLLKNHGGFJB77DA,65.42,8.2,0.0,無,
太平區,房地(土地+建物),中山路一段181~210號,82.1,,鄉村區,乙種建築用地,1100416,土地1建物1車位0,全,四層,透天厝,店舖、住宅、梯間,鋼筋混凝土造,0840127,192.37,6,0,4,有,無,14800000,76935,,0.0,0,,RPXNMLLKNHGGFJB48DA,168.41,23.96,0.0,無,
