鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,total_floor
前鎮區,房地(土地+建物),光華三路151~180號,9.01,都市：其他:第四種商業區,,,1091124,土地1建物1車位0,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950614,83.31,2,1,1,有,有,5350000,64218,,0.0,0,,RPRPMLOLJIPFFCE58DA,50.09,9.75,0.0,有,1046.0,15
前鎮區,房地(土地+建物)+車位,二聖一路61~90號,21.92,都市：其他:第四種住宅區,,,1091128,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,1000511,163.19,3,2,2,有,有,10700000,65568,坡道平面,17.54,0,,RPWOMLTLKIPFFCE96DA,84.23,12.93,0.0,有,1048.0,15
新興區,房地(土地+建物)+車位,七賢二路31~60號,5.8,都市：其他:第五種商業區,,,1091116,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060424,94.27000000000001,0,0,0,無,有,7250000,74918,坡道機械,14.85,1300000,含裝潢費；,RPXOMLNLKIPFFBE98DA,46.41,5.22,0.0,有,,15
鼓山區,房地(土地+建物)+車位,美術東二路451~480號,25.0,都市：其他:特定第五種住宅區,,,1091206,土地1建物1車位1,十八層,二十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010419,271.24,4,2,2,有,有,23880000,88040,坡道平面,30.82,0,,RPOOMLSKKIPFFAE38DA,141.57,18.48,0.0,有,1050.0,28
鼓山區,房地(土地+建物)+車位,龍勝路31~60號,7.48,都市：其他:第四種商業區,,,1091225,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001007,82.41,2,1,1,有,有,6100000,74020,坡道機械,6.08,0,,RPVNMLPJJHGGFAE57DA,41.57,7.77,0.0,有,1051.0,15
鼓山區,房地(土地+建物),博愛二路331~360號,7.89,都市：其他:第五種商業區,,,1091029,土地1建物1車位0,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940802,109.25,3,2,2,有,有,6400000,58581,,0.0,0,含傢俱設備費；,RPPOMLPJJHGGFAE07DA,75.03,8.17,0.0,有,,14
鼓山區,房地(土地+建物)+車位,美術東六街181~210號,12.15,都市：其他:第三種特定商業專用區,,,1091120,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930224,98.77,2,2,1,有,有,5800000,58722,坡道機械,18.29,0,,RPUOMLPJJHGGFAE57DA,50.15,6.61,0.0,有,1052.0,14
鼓山區,房地(土地+建物),文忠路121~150號,6.5,都市：其他:第四種商業區,,,1091125,土地1建物1車位0,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020527,75.73,2,1,1,有,有,5520000,72891,,0.0,0,,RPRNMLTLKIPFFAE78DA,42.64,3.15,0.0,有,1053.0,15
鼓山區,房地(土地+建物)+車位,美術東四路421~450號,22.25,都市：其他:特定第五種住宅區,,,1091217,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941114,145.26999999999998,3,2,2,有,有,9300000,64019,坡道平面,24.24,0,,RPVQMLSLKIPFFAE76DA,79.55,4.36,0.0,有,,15
鼓山區,房地(土地+建物)+車位,富農路151~180號,16.19,都市：其他:第四種商業區,,,1091207,土地1建物1車位2,十七層,三十層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1011011,282.66,4,2,2,有,有,22770000,80556,坡道平面,28.61,0,含傢俱設備費；,RPQOMLPJJHGGFAE17DA,147.0,34.36,0.0,有,1055.0,30
鼓山區,房地(土地+建物)+車位,美術東四路421~450號,26.16,都市：其他:特定第五種住宅區,,,1091213,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941114,180.29000000000002,4,2,2,有,有,13050000,72383,坡道平面,24.25,0,,RPUOMLQJJHGGFAE67DA,97.93,10.25,0.0,有,1056.0,15
鼓山區,房地(土地+建物)+車位,美術東四路361~390號,17.8,都市：其他:特定第五種住宅區,,,1091205,土地1建物1車位1,二層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030212,203.79,3,2,2,有,有,12500000,61338,坡道平面,30.5,0,親友、員工、共有人或其他特殊關係間之交易；,RPRPMLQJJHGGFAE47DA,97.12,15.15,0.0,有,1057.0,24
鼓山區,房地(土地+建物)+車位,裕國街61~90號,13.28,都市：其他:第五種住宅區,,,1091213,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950316,111.94999999999999,3,2,1,有,有,7250000,64761,坡道機械,9.94,0,附家具家電,RPSPMLQJJHGGFAE57DA,60.98,9.93,0.0,有,,15
